File Name,Error (degree)
r00000_17_08_17_0942.jpg,1.5587
r00000_17_08_17_0943.jpg,1.3875
r00000_17_08_17_0944.jpg,1.5856
r00000_17_08_17_0945.jpg,1.6299
r00000_17_08_17_0946.jpg,1.4943
r00000_17_08_17_0947.jpg,1.8951
r00000_17_08_17_0948.jpg,1.8903
r00000_17_08_17_0949.jpg,1.8807
r00000_17_08_17_0950.jpg,2.086
r00000_17_08_17_0951.jpg,1.9688
r00000_17_08_17_0952.jpg,1.8977
r00000_17_08_17_0953.jpg,1.4783
r00001_17_08_17_0954.jpg,1.601
r00001_17_08_17_0955.jpg,1.4015
r00001_17_08_17_0956.jpg,1.611
r00001_17_08_17_0957.jpg,1.4943
r00001_17_08_17_0958.jpg,1.503
r00001_17_08_17_0959.jpg,1.9626
r00001_17_08_17_1000.jpg,1.9034
r00001_17_08_17_1001.jpg,2.1017
r00001_17_08_17_1002.jpg,1.8807
r00001_17_08_17_1003.jpg,1.9626
r00001_17_08_17_1004.jpg,2.0393
r00001_17_08_17_1005.jpg,1.5163
r00002_17_08_17_1006.jpg,1.4276
r00002_17_08_17_1007.jpg,1.4688
r00002_17_08_17_1008.jpg,1.4906
r00002_17_08_17_1009.jpg,1.4688
r00002_17_08_17_1010.jpg,1.6314
r00002_17_08_17_1011.jpg,1.9921
r00002_17_08_17_1012.jpg,1.9034
r00002_17_08_17_1013.jpg,1.8977
r00002_17_08_17_1014.jpg,1.8863
r00002_17_08_17_1015.jpg,1.8012
r00002_17_08_17_1016.jpg,1.9385
r00002_17_08_17_1017.jpg,1.3804
r00003_17_08_17_1018.jpg,1.4772
r00003_17_08_17_1019.jpg,1.5528
r00003_17_08_17_1020.jpg,1.5766
r00003_17_08_17_1021.jpg,1.6023
r00003_17_08_17_1022.jpg,1.503
r00003_17_08_17_1023.jpg,1.9863
r00003_17_08_17_1024.jpg,1.892
r00003_17_08_17_1025.jpg,2.0889
r00003_17_08_17_1026.jpg,2.0521
r00003_17_08_17_1027.jpg,1.8965
r00003_17_08_17_1028.jpg,2.0154
r00003_17_08_17_1029.jpg,1.4943
r00004_17_08_17_1030.jpg,1.5717
r00004_17_08_17_1031.jpg,1.4119
r00004_17_08_17_1032.jpg,1.3721
r00004_17_08_17_1033.jpg,1.5862
r00004_17_08_17_1034.jpg,1.503
r00004_17_08_17_1035.jpg,1.9306
r00004_17_08_17_1036.jpg,1.9034
r00004_17_08_17_1037.jpg,2.1017
r00004_17_08_17_1038.jpg,1.9637
r00004_17_08_17_1039.jpg,1.9267
r00004_17_08_17_1040.jpg,2.0393
r00004_17_08_17_1041.jpg,1.6079
r00005_17_08_17_1042.jpg,1.606
r00005_17_08_17_1043.jpg,1.5253
r00005_17_08_17_1044.jpg,1.5911
r00005_17_08_17_1045.jpg,1.503
r00005_17_08_17_1046.jpg,1.4987
r00005_17_08_17_1047.jpg,1.8476
r00005_17_08_17_1048.jpg,2.0515
r00005_17_08_17_1049.jpg,1.8476
r00005_17_08_17_1050.jpg,1.8585
r00005_17_08_17_1051.jpg,2.0096
r00005_17_08_17_1052.jpg,2.0273
r00005_17_08_17_1053.jpg,1.5856
r00006_17_08_17_1054.jpg,1.6918
r00006_17_08_17_1055.jpg,1.4927
r00006_17_08_17_1056.jpg,1.4548
r00006_17_08_17_1057.jpg,1.5862
r00006_17_08_17_1058.jpg,1.3875
r00006_17_08_17_1059.jpg,1.8695
r00006_17_08_17_1100.jpg,2.0515
r00006_17_08_17_1101.jpg,2.086
r00006_17_08_17_1102.jpg,1.8863
r00006_17_08_17_1103.jpg,2.0037
r00006_17_08_17_1104.jpg,1.8255
r00006_17_08_17_1105.jpg,1.6418
r00007_17_08_17_1106.jpg,1.5911
r00007_17_08_17_1107.jpg,1.5389
r00007_17_08_17_1108.jpg,1.4188
r00007_17_08_17_1109.jpg,1.4188
r00007_17_08_17_1110.jpg,1.5163
r00007_17_08_17_1111.jpg,1.9874
r00007_17_08_17_1112.jpg,2.0953
r00007_17_08_17_1113.jpg,1.9326
r00007_17_08_17_1114.jpg,1.9034
r00007_17_08_17_1115.jpg,1.9445
r00007_17_08_17_1116.jpg,1.9886
r00007_17_08_17_1117.jpg,1.6135
r00008_17_08_17_1118.jpg,1.49
r00008_17_08_17_1119.jpg,1.4927
r00008_17_08_17_1120.jpg,1.4548
r00008_17_08_17_1121.jpg,1.4144
r00008_17_08_17_1122.jpg,1.8476
r00008_17_08_17_1123.jpg,2.0096
r00008_17_08_17_1124.jpg,1.8977
r00008_17_08_17_1125.jpg,1.8965
r00008_17_08_17_1126.jpg,2.0638
r00008_17_08_17_1127.jpg,2.0096
r00008_17_08_17_1128.jpg,1.9693
r00008_17_08_17_1129.jpg,1.4688
r00009_17_08_17_1130.jpg,1.5814
r00009_17_08_17_1131.jpg,1.6233
r00009_17_08_17_1132.jpg,1.407
r00009_17_08_17_1133.jpg,1.5363
r00009_17_08_17_1134.jpg,1.4424
r00009_17_08_17_1135.jpg,2.0388
r00009_17_08_17_1136.jpg,1.9937
r00009_17_08_17_1137.jpg,2.1272
r00009_17_08_17_1138.jpg,1.8536
r00009_17_08_17_1139.jpg,1.9811
r00009_17_08_17_1140.jpg,2.0096
r00009_17_08_17_1141.jpg,1.5622
r00010_17_08_17_1142.jpg,1.6663
r00010_17_08_17_1143.jpg,1.5275
r00010_17_08_17_1144.jpg,1.4548
r00010_17_08_17_1145.jpg,1.3411
r00010_17_08_17_1146.jpg,1.4879
r00010_17_08_17_1147.jpg,2.0393
r00010_17_08_17_1148.jpg,1.8476
r00010_17_08_17_1149.jpg,1.9284
r00010_17_08_17_1150.jpg,2.0333
r00010_17_08_17_1151.jpg,2.0273
r00010_17_08_17_1152.jpg,1.8695
r00010_17_08_17_1153.jpg,1.9825
r00011_17_08_17_1154.jpg,1.4927
r00011_17_08_17_1155.jpg,1.4831
r00011_17_08_17_1156.jpg,1.6023
r00011_17_08_17_1157.jpg,1.4169
r00011_17_08_17_1158.jpg,2.0037
r00011_17_08_17_1159.jpg,2.1069
r00011_17_08_17_1200.jpg,1.9811
r00011_17_08_17_1201.jpg,1.9863
r00011_17_08_17_1202.jpg,1.9688
r00011_17_08_17_1203.jpg,1.8951
r00011_17_08_17_1204.jpg,1.9682
r00011_17_08_17_1205.jpg,2.1611
r00012_17_08_17_1206.jpg,1.4735
r00012_17_08_17_1207.jpg,1.5074
r00012_17_08_17_1208.jpg,1.5862
r00012_17_08_17_1209.jpg,1.4366
r00012_17_08_17_1210.jpg,1.9806
r00012_17_08_17_1211.jpg,1.8977
r00012_17_08_17_1212.jpg,1.9874
